id,title,category,aliasList,positionList,url
101,06.32,building,[],"['49.02208', '8.36703']",
102,06.33,building,[],"['49.02144', '8.36683']",
103,06.34,building,[],"['49.02103', '8.36681']",
104,06.35,building,[],"['49.02179', '8.36620']",
105,06.36,building,[],"['49.02109', '8.36599']",
106,06.38,building,[],"['49.02180', '8.36824']",
107,11.10,building,[],"['49.01078', '8.41282']",
108,11.11,building,[],"['49.01105', '8.41261']",
109,07.07,building,[],"['49.01313', '8.42424']",
111,10.64,building,[],"['49.00993', '8.41741']",
112,20.13,building,[],"['49.01227', '8.40707']",
113,20.11,building,[],"['49.01296', '8.40643']",
114,10.61,building,[],"['49.01016', '8.41743']",
115,07.08,building,[],"['49.01367', '8.42420']",
116,10.63,building,[],"['49.01048', '8.41707']",
117,40.29,building,[],"['49.01468', '8.41574']",
118,50.25,building,[],"['49.00995', '8.41917']",
119,50.20,building,[],"['49.01025', '8.41890']",
120,50.21,building,[],"['49.01087', '8.41900']",
121,50.22,building,[],"['49.01082', '8.41959']",
122,50.23,building,[],"['49.01007', '8.41969']",
123,30.51,building,[],"['49.01099', '8.41697']",
124,30.50,building,[],"['49.01134', '8.41642']",
125,05.01,building,[],"['49.00904', '8.40535']",
126,70.26,building,[],"['49.02274', '8.43366']",
127,20.21,building,[],"['49.01210', '8.40808']",
128,20.20,building,[],"['49.01251', '8.40796']",
129,11.23,building,[],"['49.01074', '8.41339']",
130,11.22,building,[],"['49.01059', '8.41404']",
131,11.21,building,[],"['49.01079', '8.41405']",
132,11.20,building,[],"['49.01103', '8.41217']",
133,06.45,building,[],"['49.02033', '8.36771']",
134,30.45,building,[],"['49.01169', '8.41382']",
135,06.47,building,[],"['49.02025', '8.36731']",
136,07.30,building,[],"['49.01414', '8.42578']",
137,06.41,building,[],"['49.02129', '8.36819']",
138,06.40,building,[],"['49.02165', '8.36765']",
139,30.42,building,[],"['49.01296', '8.41423']",
140,06.42,building,[],"['49.02056', '8.36729']",
141,10.11,building,[],"['49.00933', '8.41223']",
142,40.28,building,[],"['49.01509', '8.41592']",
143,10.12,building,[],"['49.00960', '8.41179']",
144,40.32,building,[],"['49.01453', '8.41733']",
145,40.31,building,[],"['49.01405', '8.41722']",
146,20.30,building,[],"['49.01114', '8.40930']",
147,30.31,building,[],"['49.01242', '8.41319']",
148,40.33,building,[],"['49.01495', '8.41716']",
149,30.33,building,[],"['49.01226', '8.41320']",
150,30.32,building,[],"['49.01239', '8.41271']",
151,30.35,building,[],"['49.01198', '8.41267']",
152,30.34,building,[],"['49.01171', '8.41303']",
153,30.36,building,[],"['49.01193', '8.41234']",
154,07.21,building,[],"['49.01272', '8.42534']",
155,70.13,building,[],"['49.02333', '8.43157']",
156,50.40,building,[],"['49.01547', '8.42037']",
157,50.41,building,[],"['49.01569', '8.41946']",
158,70.12,building,[],"['49.02429', '8.43218']",
159,01.96,building,[],"['49.00890', '8.41130']",
160,01.94,building,[],"['49.00814', '8.40898']",
161,01.93,building,[],"['49.00843', '8.40875']",
162,01.92,building,[],"['49.00845', '8.40891']",
164,10.91,building,[],"['49.00990', '8.41322']",
165,10.93,building,[],"['49.01033', '8.41342']",
166,10.92,building,[],"['49.01033', '8.41301']",
167,01.13,building,[],"['49.01192', '8.41690']",
168,01.12,building,[],"['49.01153', '8.41739']",
169,10.96,building,[],"['49.00983', '8.41417']",
170,10.86,building,[],"['49.01011', '8.41636']",
171,70.22,building,[],"['49.02390', '8.43246']",
172,70.16,building,[],"['49.02186', '8.43111']",
173,10.34,building,[],"['49.00921', '8.41600']",
174,10.33,building,[],"['49.00937', '8.41602']",
175,10.32,building,[],"['49.00923', '8.41502']",
176,10.31,building,[],"['49.00920', '8.41372']",
177,10.30,building,[],"['49.00958', '8.41548']",
178,70.14,building,[],"['49.02393', '8.43245']",
179,30.22,building,[],"['49.01257', '8.41068']",
180,30.23,building,[],"['49.01293', '8.41110']",
181,06.60,building,[],"['49.02355', '8.36775']",
182,20.44,building,[],"['49.01111', '8.41109']",
183,30.24,building,[],"['49.01318', '8.41076']",
184,30.25,building,[],"['49.01288', '8.41168']",
185,40.04,building,[],"['49.01519', '8.41450']",
186,40.02,building,[],"['49.01429', '8.41519']",
187,30.44,building,[],"['49.01187', '8.41442']",
188,07.31,building,[],"['49.01420', '8.42627']",
